symbol,date,close,high,low,open
AAPL,2021-02-02 19:35:00+00:00,134.985,135.02,134.895,134.905
AAPL,2021-02-02 19:40:00+00:00,134.98,135.025,134.91,134.965
AAPL,2021-02-02 19:45:00+00:00,134.93,135.005,134.93,134.98
AAPL,2021-02-02 19:50:00+00:00,134.845,134.94,134.825,134.94
AAPL,2021-02-02 19:55:00+00:00,134.865,134.88,134.74,134.845
AAPL,2021-02-02 20:00:00+00:00,134.9,134.995,134.745,134.865
AAPL,2021-02-02 20:05:00+00:00,134.72,134.9,134.72,134.9
AAPL,2021-02-02 20:10:00+00:00,134.67,134.82,134.62,134.755
AAPL,2021-02-02 20:15:00+00:00,134.755,134.82,134.63,134.665
AAPL,2021-02-02 20:20:00+00:00,134.735,134.81,134.64,134.755
AAPL,2021-02-02 20:25:00+00:00,134.955,134.985,134.71,134.74
AAPL,2021-02-02 20:30:00+00:00,134.95,134.975,134.825,134.955
AAPL,2021-02-02 20:35:00+00:00,135.085,135.12,134.94,134.95
AAPL,2021-02-02 20:40:00+00:00,134.9,135.1,134.9,135.075
AAPL,2021-02-02 20:45:00+00:00,135.33,135.345,134.9,134.9
AAPL,2021-02-02 20:50:00+00:00,135.245,135.465,135.15,135.32
AAPL,2021-02-02 20:55:00+00:00,134.915,135.27,134.915,135.24
AAPL,2021-02-02 21:00:00+00:00,134.915,134.915,134.915,134.915
AAPL,2021-02-03 14:30:00+00:00,135.0,135.63,134.63,135.63
AAPL,2021-02-03 14:35:00+00:00,134.46,135.02,134.43,134.98
AAPL,2021-02-03 14:40:00+00:00,134.715,134.81,134.365,134.44
AAPL,2021-02-03 14:45:00+00:00,134.82,135.0,134.525,134.71
AAPL,2021-02-03 14:50:00+00:00,135.03,135.12,134.81,134.82
AAPL,2021-02-03 14:55:00+00:00,135.33,135.33,134.99,135.055
AAPL,2021-02-03 15:00:00+00:00,134.945,135.395,134.94,135.37
AAPL,2021-02-03 15:05:00+00:00,134.61,135.085,134.36,134.945
AAPL,2021-02-03 15:10:00+00:00,134.305,134.63,134.17,134.62
AAPL,2021-02-03 15:15:00+00:00,134.1,134.58,134.075,134.315
AAPL,2021-02-03 15:20:00+00:00,133.89,134.2,133.83,134.095
AAPL,2021-02-03 15:25:00+00:00,133.77,134.07,133.635,133.89
AAPL,2021-02-03 15:30:00+00:00,133.87,134.14,133.72,133.75
AAPL,2021-02-03 15:35:00+00:00,134.08,134.155,133.715,133.86
AAPL,2021-02-03 15:40:00+00:00,134.165,134.28,134.04,134.06
AAPL,2021-02-03 15:45:00+00:00,134.06,134.24,134.025,134.24
AAPL,2021-02-03 15:50:00+00:00,134.12,134.3,133.82,134.03
AAPL,2021-02-03 15:55:00+00:00,134.1,134.28,134.055,134.14
AAPL,2021-02-03 16:00:00+00:00,134.395,134.425,134.045,134.1
AAPL,2021-02-03 16:05:00+00:00,134.23,134.48,134.16,134.38
AAPL,2021-02-03 16:10:00+00:00,134.045,134.24,133.875,134.23
AAPL,2021-02-03 16:15:00+00:00,133.95,134.105,133.86,134.05
AAPL,2021-02-03 16:20:00+00:00,134.15,134.17,133.865,133.95
AAPL,2021-02-03 16:25:00+00:00,134.08,134.25,134.01,134.155
AAPL,2021-02-03 16:30:00+00:00,134.13,134.15,133.92,134.08
AAPL,2021-02-03 16:35:00+00:00,134.29,134.31,134.125,134.145
AAPL,2021-02-03 16:40:00+00:00,134.38,134.41,134.22,134.295
AAPL,2021-02-03 16:45:00+00:00,134.445,134.48,134.27,134.385
AAPL,2021-02-03 16:50:00+00:00,134.45,134.54,134.365,134.435
AAPL,2021-02-03 16:55:00+00:00,134.585,134.755,134.445,134.445
AAPL,2021-02-03 17:00:00+00:00,134.74,134.745,134.54,134.58
AAPL,2021-02-03 17:05:00+00:00,134.78,134.82,134.725,134.735
